rate_id,analysis_domain,measure_id,analysis_level,numerator_definition,denominator_definition,year_variable,sex_variable,age_group_variable,site_variable,standard_population,rate_multiplier,period_years,output_file,status,notes
RATE_001,incidence,crude_annual,annual,cases with analytic_inclusion_incidence == yes,annual population by sex from scaled provincial denominators,incident_year,sex_analytic,none,none,not_applicable,100000,1,incidence_rates_crude_annual.csv,active,Tasa cruda anual
RATE_002,incidence,age_specific_annual,annual,cases with analytic_inclusion_incidence == yes,annual population by sex and age group from scaled provincial denominators,incident_year,sex_analytic,age_group_iarc,none,not_applicable,100000,1,incidence_rates_age_specific.csv,active,Tasa especifica por edad anual
RATE_003,incidence,asr_period,period,cases with analytic_inclusion_incidence == yes,mid-period 2018 population by sex and age group multiplied by 8 person-years,incident_year,sex_analytic,age_group_iarc,none,segi_doll_world_standard,100000,8,incidence_rates_asr_period.csv,active,Tasa ajustada del periodo
RATE_004,incidence,top10_period,period,cases with analytic_inclusion_incidence == yes,mid-period 2018 population by sex multiplied by 8 person-years,incident_year,sex_analytic,none,topography_icdo,not_applicable,100000,8,incidence_rates_top10_by_sex_period.csv,active,Top 10 por sexo en el periodo
RATE_005,mortality,crude_annual,annual,deaths with analytic_inclusion_mortality == yes,annual population by sex from scaled provincial denominators,death_year,sex_analytic,none,none,not_applicable,100000,1,mortality_rates_crude_annual.csv,active,Tasa cruda anual
RATE_006,mortality,age_specific_annual,annual,deaths with analytic_inclusion_mortality == yes,annual population by sex and age group from scaled provincial denominators,death_year,sex_analytic,age_group_iarc,none,not_applicable,100000,1,mortality_rates_age_specific.csv,active,Tasa especifica por edad anual
RATE_007,mortality,asr_period,period,deaths with analytic_inclusion_mortality == yes,mid-period 2018 population by sex and age group multiplied by 8 person-years,death_year,sex_analytic,age_group_iarc,none,segi_doll_world_standard,100000,8,mortality_rates_asr_period.csv,active,Tasa ajustada del periodo
RATE_008,mortality,top10_period,period,deaths with analytic_inclusion_mortality == yes,mid-period 2018 population by sex multiplied by 8 person-years,death_year,sex_analytic,none,topography_icdo,not_applicable,100000,8,mortality_rates_top10_by_sex_period.csv,active,Top 10 por sexo en el periodo
